# The transport data in this file was generated using BOLSIG+ with the Phelps data base for air at 300K
# using a 20/80 O2/N2 mixture

# Electron mean energy (E/N, eV)
241.6	0.4256E+25
251.7	0.4329E+25
261.7	0.4399E+25
271.8	0.4466E+25
281.8	0.4521E+25
291.9	0.4585E+25
301.9	0.4646E+25
312.0	0.4706E+25
322.0	0.4764E+25
332.1	0.4821E+25
342.1	0.4877E+25
352.2	0.4931E+25
362.2	0.4984E+25
372.3	0.5036E+25
382.3	0.5087E+25
392.4	0.5138E+25
402.4	0.5187E+25
412.5	0.5235E+25
422.5	0.5283E+25
432.6	0.5330E+25
442.6	0.5377E+25
452.6	0.5423E+25
462.7	0.5469E+25
472.7	0.5513E+25
482.8	0.5558E+25
492.8	0.5601E+25
502.9	0.5644E+25
512.9	0.5687E+25
523.0	0.5733E+25
533.0	0.5774E+25
543.1	0.5816E+25
553.1	0.5857E+25
563.2	0.5897E+25
573.2	0.5938E+25
583.3	0.5977E+25
593.3	0.6017E+25
603.4	0.6050E+25
613.4	0.6089E+25
623.5	0.6128E+25
633.5	0.6166E+25
643.6	0.6204E+25
653.6	0.6242E+25
663.7	0.6280E+25
673.7	0.6317E+25
683.7	0.6359E+25
693.8	0.6396E+25
703.8	0.6432E+25
713.9	0.6469E+25
723.9	0.6505E+25
734.0	0.6541E+25
744.0	0.6576E+25
754.1	0.6612E+25
764.1	0.6647E+25
774.2	0.6682E+25
784.2	0.6717E+25
794.3	0.6751E+25
804.3	0.6786E+25
814.4	0.6820E+25
824.4	0.6854E+25
834.5	0.6888E+25
844.5	0.6922E+25
854.6	0.6956E+25
864.6	0.6990E+25
874.7	0.7023E+25
884.7	0.7056E+25
894.7	0.7090E+25
904.8	0.7123E+25
914.8	0.7155E+25
924.9	0.7188E+25
934.9	0.7221E+25
945.0	0.7254E+25
955.0	0.7286E+25
965.1	0.7318E+25
975.1	0.7351E+25
985.2	0.7393E+25
995.2	0.7425E+25
1005.	0.7457E+25
1015.	0.7488E+25
1025.	0.7520E+25
1035.	0.7552E+25
1045.	0.7583E+25
1056.	0.7615E+25
1066.	0.7646E+25
1076.	0.7677E+25
1086.	0.7708E+25
1096.	0.7740E+25
1106.	0.7771E+25
1116.	0.7802E+25
1126.	0.7833E+25
1136.	0.7864E+25
1146.	0.7894E+25
1156.	0.7925E+25
1166.	0.7956E+25
1176.	0.7986E+25
1186.	0.8017E+25
1196.	0.8047E+25
1206.	0.8077E+25
1216.	0.8108E+25
1226.	0.8141E+25
1236.	0.8172E+25
1246.	0.8202E+25
1256.	0.8232E+25
1267.	0.8262E+25
1277.	0.8292E+25
1287.	0.8322E+25
1297.	0.8351E+25
1307.	0.8381E+25
1317.	0.8411E+25
1327.	0.8441E+25
1337.	0.8470E+25
1347.	0.8500E+25
1357.	0.8530E+25
1367.	0.8561E+25
1377.	0.8591E+25
1387.	0.8620E+25
1397.	0.8650E+25
1407.	0.8679E+25
1417.	0.8708E+25
1427.	0.8738E+25
1437.	0.8767E+25
1447.	0.8796E+25
1457.	0.8826E+25
1467.	0.8855E+25
1478.	0.8884E+25
1488.	0.8913E+25
1498.	0.8942E+25
1508.	0.8970E+25
1518.	0.8999E+25
1528.	0.9028E+25
1538.	0.9057E+25
1548.	0.9086E+25
1558.	0.9115E+25
1568.	0.9144E+25
1578.	0.9173E+25
1588.	0.9202E+25
1598.	0.9231E+25
1608.	0.9260E+25
1618.	0.9289E+25
1628.	0.9318E+25
1638.	0.9347E+25
1648.	0.9376E+25
1658.	0.9405E+25
1668.	0.9438E+25
1678.	0.9467E+25
1689.	0.9496E+25
1699.	0.9525E+25
1709.	0.9554E+25
1719.	0.9582E+25
1729.	0.9611E+25
1739.	0.9640E+25
1749.	0.9669E+25
1759.	0.9697E+25
1769.	0.9726E+25
1779.	0.9755E+25
1789.	0.9783E+25
1799.	0.9812E+25
1809.	0.9841E+25
1819.	0.9870E+25
1829.	0.9898E+25
1839.	0.9935E+25
1849.	0.9963E+25
1859.	0.9992E+25
1869.	0.1002E+26
1879.	0.1005E+26
1889.	0.1008E+26
1900.	0.1011E+26
1910.	0.1014E+26
1920.	0.1016E+26
1930.	0.1019E+26
1940.	0.1022E+26
1950.	0.1025E+26
1960.	0.1028E+26
